Time,CAN,Dir,Bit,ID(hex),DLC,D0,D1,D2,D3,D4,D5,D6,D7,,,,,,,,,,,,,,,,,,,
00:11.2,0,RX,29,19F20138,8,D1,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:11.2,0,RX,29,19F20138,8,D2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:11.2,0,RX,29,19F20138,7,D3,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:11.7,0,RX,29,19F20138,8,E0,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:11.7,0,RX,29,19F20138,8,E1,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:11.7,0,RX,29,19F20138,8,E2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:11.7,0,RX,29,19F20138,7,E3,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:12.2,0,RX,29,19F20138,8,F0,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:12.2,0,RX,29,19F20138,8,F1,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:12.2,0,RX,29,19F20138,8,F2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:12.2,0,RX,29,19F20138,7,F3,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,19F20138,8,0,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,19F20138,8,1,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,19F20138,8,2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,19F20138,7,3,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,19F20038,8,0,0,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.7,0,RX,29,9FD0205,8,7A,63,3,20,9C,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,DF90BA3,8,FF,FC,A2,4C,46,0,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,19F814A3,8,C0,14,57,38,34,0,0,0,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,19F814A3,8,C1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,19F814A3,8,C2,0,0,0,57,38,34,0,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,9F11200,8,FF,C2,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,19F20038,8,0,FA,1E,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.8,0,RX,29,9FD0205,8,7B,83,3,1A,9B,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.9,0,RX,29,9F11200,8,FF,B2,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:12.9,0,RX,29,19F20038,8,0,0F,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:12.9,0,RX,29,9FD0205,8,7C,7E,3,6C,9A,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,DFE11A3,8,20,0E,C0,E2,51,14,30,1,,,,,,,,,,,,,,,,,,,
